Keys (n),Binary Search Trees
0,0.220000
1000,130.170000
2000,251.260000
3000,354.630000
4000,487.310000
5000,644.940000
6000,818.250000
7000,1001.310000
8000,1184.370000
9000,1394.610000
10000,1592.930000
11000,1810.200000
12000,2011.390000
13000,2246.340000
14000,2462.630000
15000,2693.960000
16000,2954.880000
17000,3200.810000
18000,3453.040000
19000,3700.080000
20000,3959.730000
21000,4207.860000
22000,4467.190000
23000,4741.100000
24000,5040.820000
25000,5294.730000
26000,5638.220000
27000,5899.850000
28000,6175.970000
29000,6520.630000
30000,6686.410000
31000,6980.120000
32000,7248.870000
33000,7568.380000
34000,7909.240000
35000,8129.330000
36000,8457.340000
37000,8729.380000
38000,9049.950000
39000,9450.640000
40000,9676.190000
41000,10008.110000
42000,10246.160000
43000,10550.310000
44000,11101.670000
45000,11283.230000
46000,11638.810000
47000,11946.620000
48000,12275.010000
49000,12566.430000
50000,13012.970000
51000,13198.730000
52000,13578.570000
53000,14003.690000
54000,14374.350000
55000,14766.610000
56000,14997.340000
57000,15361.600000
58000,15704.500000
59000,16003.930000
60000,16383.770000
61000,16733.190000
62000,17063.600000
63000,17579.020000
64000,17789.760000
65000,18151.560000
66000,18505.590000
67000,18728.660000
68000,19296.950000
69000,19390.540000
70000,19911.500000
71000,20226.870000
72000,20668.910000
73000,20791.610000
74000,21510.360000
75000,21683.350000
76000,22472.730000
77000,22796.690000
78000,22987.630000
79000,23370.930000
80000,23857.490000
81000,24073.890000
82000,24631.600000
83000,25337.530000
84000,25738.390000
85000,25772.780000
86000,26580.320000
87000,26863.670000
88000,27163.360000
89000,27621.450000
90000,27928.120000
91000,28024.970000
92000,29193.140000
93000,29151.640000
94000,29228.280000
95000,30073.960000
96000,30429.390000
97000,30583.960000
98000,30903.480000
99000,31311.280000
100000,31717.710000
