Keys (n),Binary Search Trees,Linked Lists
0,0.190000,0.240000
250,23.040000,57.010000
500,51.160000,184.520000
750,66.160000,402.400000
1000,97.100000,756.150000
1250,123.660000,1372.090000
1500,153.780000,1947.520000
1750,179.420000,2617.140000
2000,208.250000,3555.270000
2250,241.430000,4731.010000
2500,278.660000,5985.680000
2750,305.520000,7067.960000
3000,342.930000,8064.550000
3250,379.930000,10243.190000
3500,412.340000,10602.270000
3750,458.240000,13477.040000
4000,488.980000,15426.930000
4250,526.040000,17127.940000
4500,571.650000,19437.550000
4750,610.370000,21194.950000
5000,643.640000,24694.240000
5250,697.890000,26741.690000
5500,731.480000,30949.250000
5750,773.540000,32691.970000
6000,823.010000,38729.890000
6250,878.480000,42367.540000
6500,931.960000,43672.240000
6750,965.380000,46697.380000
7000,1013.620000,49447.170000
7250,1045.810000,56157.310000
7500,1093.770000,59775.030000
7750,1138.430000,59702.540000
8000,1199.570000,70147.340000
8250,1253.210000,68920.160000
8500,1284.770000,70451.100000
8750,1327.970000,77314.510000
9000,1390.520000,84796.650000
9250,1462.160000,91609.360000
9500,1501.770000,89427.430000
9750,1545.180000,99388.410000
10000,1619.130000,101667.170000
