Keys (n),Binary Search Trees
0,0.260000
250,27.440000
500,57.780000
750,84.290000
1000,107.310000
1250,139.300000
1500,182.990000
1750,214.530000
2000,256.000000
2250,298.060000
2500,345.220000
2750,398.800000
3000,442.070000
3250,494.900000
3500,551.400000
3750,598.180000
4000,655.930000
4250,711.400000
4500,768.050000
4750,830.630000
5000,895.470000
5250,993.230000
5500,999.280000
5750,1073.560000
6000,1130.260000
6250,1190.020000
6500,1261.270000
6750,1329.120000
7000,1390.910000
7250,1457.680000
7500,1526.860000
7750,1589.530000
8000,1660.880000
8250,1733.700000
8500,1812.720000
8750,1866.580000
9000,1933.100000
9250,2015.630000
9500,2084.320000
9750,2151.370000
10000,2224.090000
