Keys (n),Binary Search Trees,Red-Black Trees
0,0.160000,0.180000
10000,1615.360000,1527.560000
20000,3861.600000,3605.940000
30000,6552.040000,5917.540000
40000,9420.060000,8384.760000
50000,12462.680000,10962.940000
60000,15565.680000,13625.140000
70000,19013.980000,16453.800000
80000,22471.180000,19228.760000
90000,25627.860000,22040.020000
100000,29455.140000,24967.400000
110000,33124.540000,28147.120000
120000,37046.260000,31394.560000
130000,40954.880000,34413.200000
140000,44833.320000,37759.540000
150000,49812.320000,41585.540000
160000,54490.360000,45383.560000
170000,59306.360000,49190.380000
180000,64109.220000,54413.240000
190000,70482.460000,58495.540000
200000,76288.160000,63674.400000
210000,83064.560000,69448.420000
220000,89828.620000,75655.380000
230000,97185.940000,83460.020000
240000,105086.260000,91206.600000
250000,114992.640000,98796.640000
260000,125784.460000,106507.040000
270000,134502.480000,114642.440000
280000,144772.360000,122852.740000
290000,153808.180000,130804.500000
300000,164194.560000,140426.580000
310000,175259.680000,149253.920000
320000,186854.580000,158582.880000
330000,197327.280000,167274.580000
340000,208156.420000,176950.280000
350000,220779.620000,186044.240000
360000,231232.000000,196703.420000
370000,243100.180000,206631.440000
380000,254347.440000,216797.620000
390000,267144.080000,227729.320000
400000,280294.200000,238516.820000
410000,293125.980000,248528.760000
420000,304931.180000,259809.580000
430000,316579.240000,270608.300000
440000,331397.740000,282037.040000
450000,344281.180000,292628.120000
460000,357647.960000,304464.940000
470000,374448.020000,316872.880000
480000,385585.700000,328227.960000
490000,400489.380000,340726.720000
500000,413853.200000,351525.640000
510000,429584.060000,361006.940000
520000,445218.780000,374446.440000
530000,459704.240000,384120.700000
540000,473968.800000,396864.800000
550000,489585.100000,411860.500000
560000,506774.380000,420591.400000
570000,522527.860000,431555.660000
580000,536504.160000,443146.240000
590000,553084.580000,455585.020000
600000,568861.820000,472964.280000
610000,585271.300000,481114.740000
620000,601385.700000,493390.640000
630000,617529.900000,504349.240000
640000,632589.620000,516691.980000
650000,652079.200000,529749.260000
660000,663847.700000,542740.480000
670000,679905.860000,556140.340000
680000,698058.640000,568833.000000
690000,714671.320000,581766.240000
700000,732917.600000,594899.060000
710000,750560.980000,607381.460000
720000,777237.920000,628136.040000
730000,792624.160000,638160.440000
740000,806722.300000,649975.920000
750000,827288.020000,667363.960000
760000,843020.480000,679121.780000
770000,860249.380000,691178.220000
780000,878276.060000,706318.960000
790000,895581.200000,719169.120000
800000,913723.020000,731159.440000
810000,930151.340000,743553.560000
820000,946847.980000,758251.060000
830000,962918.140000,770751.640000
840000,980692.720000,783573.280000
850000,999125.000000,798740.420000
860000,1018463.920000,811505.400000
870000,1035688.340000,826522.380000
880000,1055647.260000,839341.920000
890000,1072167.620000,854503.200000
900000,1091394.240000,868989.480000
910000,1107672.720000,880812.180000
920000,1123252.360000,896850.240000
930000,1144650.780000,912699.120000
940000,1165193.240000,926287.240000
950000,1183769.300000,942957.980000
960000,1197176.560000,959039.520000
970000,1223699.280000,972023.120000
980000,1244467.220000,985335.800000
990000,1258661.420000,1001433.800000
1000000,1273940.760000,1014980.060000
