Keys (n),Binary Search Trees,Red-Black Trees,B-Trees
0,0.420000,0.280000,0.300000
5000,1036.380000,1044.480000,802.860000
10000,3665.600000,3160.020000,1633.180000
15000,5662.980000,6042.540000,2884.120000
20000,8738.680000,7095.900000,2643.220000
25000,6293.280000,5283.720000,3402.400000
30000,7720.880000,6531.680000,4132.160000
35000,9472.020000,7881.360000,4932.100000
40000,11324.400000,9423.040000,5729.600000
45000,13039.940000,10709.360000,6644.060000
50000,14887.880000,12175.740000,7476.060000
55000,16873.820000,13861.900000,8302.000000
60000,19128.380000,15505.620000,9158.760000
65000,21267.280000,17166.520000,9994.080000
70000,23801.420000,19095.640000,10895.260000
75000,26479.220000,20970.280000,11822.280000
80000,28864.940000,22827.380000,12693.700000
85000,31899.240000,24951.860000,15009.220000
90000,35575.260000,27469.860000,14738.380000
95000,38357.280000,29822.600000,15643.480000
100000,41159.380000,32068.560000,16722.020000
